Thu. Aug. 20, 2020             LANDSAT 5                 Time: 18:58
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 194 / 026

L0R Reference Image: L51KIS1011288090100_HDF.202231408
Acquisition Date: Oct 15, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
193   026   09-13-1999, 10-03-2015
193   027   09-13-1999, 07-31-2015
194   025   09-04-1999, 08-23-2015
194   026   08-24-2001, 03-13-2014
194   027   08-24-2001, 08-01-2013
195   025   09-11-1999, 10-01-2015
195   026   09-11-1999, 10-01-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1930260278_01   48.290827   10.667483   557.074      -1.438    -3.428    -0.718    -3.645
1930260280_01   48.361349   10.953364   528.470      -6.410    -1.754    -5.922    -3.014
1930260283_01   49.493384   10.808929   361.427      -1.891     2.265    -2.308     1.836
1930260286_01   49.404881   11.050955   354.497      -1.530     4.341    -2.373     3.940
1930260288_01   48.609103   10.461913   480.929      -6.803     1.540    -6.969     0.132
1930260290_01   48.607871   10.371513   507.470      -3.168    -1.472    -2.804    -2.080
1930260296_01   48.488919   10.381068   477.918      -3.942    -0.435    -3.771    -1.223
1930260297_01   48.592931   10.747531   496.177       1.766     3.445     1.029     3.727
1930260304_01   48.969643   11.196058   569.929      -3.014    -2.909    -2.369    -3.455
1930260306_01   48.536404   10.485590   468.183       4.783    -3.087     5.300    -2.054
1930260309_01   49.494426   11.084535   371.121      -0.613     2.034    -1.012     1.866
1930260311_01   48.184902   10.767349   604.545      -0.671    -0.137    -0.634    -0.270
1930260314_01   48.701585   11.021341   445.278      -2.654     0.664    -2.735     0.113
1930260315_01   49.509857   10.700025   434.541       1.027     1.993     0.603     2.157
1930260319_01   49.496575   11.312145   399.259       0.746     0.037     0.719     0.185
1930260321_01   49.317202   11.053217   399.121      -0.086     1.558    -0.401     1.507
